year	author	title
2024	Eboni Booth	Primary Trust
2023	Sanaz Toossi	English
2022	James Ijames	Fat Ham
2021	Katori Hall	The Hot Wing King
2020	Michael R. Jackson	A Strange Loop
2019	Jackie Sibblies Drury	Fairview
2018	Martyna Majok	Cost of Living
2017	Lynn Nottage	Sweat
2016	Lin-Manuel Miranda	Hamilton
2015	Stephen Adly Guirgis	Between Riverside and Crazy
2014	Annie Baker	The Flick
2013	Ayad Akhtar	Disgraced
2012	Quiara Alegría Hudes	Water by the Spoonful
2011	Bruce Norris	Clybourne Park
2010	Tom Kitt and Brian Yorkey	Next to Normal
2009	Lynn Nottage	Ruined
2008	Tracy Letts	August: Osage County
2007	David Lindsay-Abaire	Rabbit Hole
2006	No Award	
2005	John Patrick Shanley	Doubt, a parable
2004	Doug Wright	I Am My Own Wife
2003	Nilo Cruz	Anna in the Tropics
2002	Suzan-Lori Parks	Topdog/Underdog
2001	David Auburn	Proof
2000	Donald Margulies	Dinner With Friends
1999	Margaret Edson	Wit
1998	Paula Vogel	How I Learned to Drive
1997	No award	
1996	Jonathan Larson	Rent
1995	Horton Foote	The Young Man From Atlanta
1994	Edward Albee	Three Tall Women
1993	Tony Kushner	Angels in America: Millennium Approaches
1992	Robert Schenkkan	The Kentucky Cycle
1991	Neil Simon	Lost in Yonkers
1990	August Wilson	The Piano Lesson
1989	Wendy Wasserstein	The Heidi Chronicles
1988	Alfred Uhry	Driving Miss Daisy
1987	August Wilson	Fences
1985	Stephen Sondheim and James Lapine	Sunday in the Park With George
1984	David Mamet	Glengarry Glen Ross
1983	Marsha Norman	Night, Mother
1982	Charles Fuller	A Soldier&#039;s Play
1981	Beth Henley	Crimes of the Heart
1980	Lanford Wilson	Talley&#039;s Folly
1979	Sam Shepard	Buried Child
1978	Donald L. Coburn	The Gin Game
1977	Michael Cristofer	The Shadow Box
1976	Michael Bennett, James Kirkwood, Jr., Marvin Hamlisch, Nicholas Dante and Edward Kleban	A Chorus Line
1975	Edward Albee	Seascape
1973	Jason Miller	That Championship Season
1971	Paul Zindel	The Effect of Gamma Rays on Man-In-The-Moon Marigolds
1970	Charles Gordone	No Place To Be Somebody
1969	Howard Sackler	The Great White Hope
1967	Edward Albee	A Delicate Balance
1965	Frank D. Gilroy	The Subject Was Roses
1962	Frank Loesser and Abe Burrows	How To Succeed In Business Without Really Trying
1961	Tad Mosel	All The Way Home
1960	Jerome Weidman, George Abbott,  Jerry Bock and Sheldon Harnick	Fiorello!
1959	Archibald Macleish	J. B.
1958	Ketti Frings	Look Homeward, Angel
1957	Eugene O'Neill	Long Day&#039;s Journey Into Night
1956	Albert Hackett and Frances Goodrich	Diary of Anne Frank
1955	Tennessee Williams	Cat on A Hot Tin Roof
1954	John Patrick	The Teahouse of the August Moon
1953	William Inge	Picnic
1952	Joseph Kramm	The Shrike
1950	Richard Rodgers, Oscar Hammerstein II and Joshua Logan	South Pacific
1949	Arthur Miller	Death of a Salesman
1948	Tennessee Williams	A Streetcar Named Desire
1946	Russel Crouse and Howard Lindsay	State of the Union
1945	Mary Chase	Harvey
1943	Thornton Wilder	The Skin of Our Teeth
1941	Robert E. Sherwood	There Shall Be No Night
1940	William Saroyan	The Time of Your Life
1939	Robert E. Sherwood	Abe Lincoln in Illinois
1938	Thornton Wilder	Our Town
1937	Moss Hart and George S. Kaufman	You Can&#039;t Take It With You
1936	Robert E. Sherwood	Idiots Delight
1935	Zoe Akins	The Old Maid
1934	Sidney Kingsley	Men in White
1933	Maxwell Anderson	Both Your Houses
1932	George S. Kaufman, Morrie Ryskind and Ira Gershwin	Of Thee I Sing
1931	Susan Glaspell	Alison&#039;s House
1930	Marc Connelly	The Green Pastures
1929	Elmer L. Rice	Street Scene
1928	Eugene O'Neill	Strange Interlude
1927	Paul Green	In Abraham&#039;s Bosom
1926	George Kelly	Craig&#039;s Wife
1925	Sidney Howard	They Knew What They Wanted
1924	Hatcher Hughes	Hell-Bent Fer Heaven
1923	Owen Davis	Icebound
1922	Eugene O'Neill	Anna Christie
1921	Zona Gale	Miss Lulu Bett
1920	Eugene O'Neill	Beyond the Horizon
1918	Jesse Lynch Williams	Why Marry?
