year	author	title
2024	Jayne Anne Phillips	Night Watch
2023	Barbara Kingsolver	Demon Copperhead
2023	Hernan Diaz	Trust
2022	Joshua Cohen	The Netanyahus: An Account of a Minor and Ultimately Even Negligible Episode in the History of a Very Famous Family
2021	Louise Erdrich	The Night Watchman
2020	Colson Whitehead	The Nickel Boys
2019	Richard Powers	The Overstory
2018	Andrew Sean Greer	Less
2017	Colson Whitehead	The Underground Railroad
2016	Viet Thanh Nguyen	The Sympathizer
2015	Anthony Doerr	All the Light We Cannot See
2014	Donna Tartt	The Goldfinch
2013	Adam Johnson	The Orphan Master&#039;s Son
2012	No award	
2011	Jennifer Egan	A Visit from the Goon Squad
2010	Paul Harding	Tinkers
2009	Elizabeth Strout	Olive Kitteridge
2008	Junot Diaz	The Brief Wondrous Life of Oscar Wao
2007	Cormac McCarthy	The Road
2006	Geraldine Brooks	March
2005	Marilynne Robinson	Gilead
2004	Edward P. Jones	The Known World
2003	Jeffrey Eugenides	Middlesex
2002	Richard Russo	Empire Falls
2001	Michael Chabon	The Amazing Adventures of Kavalier &amp; Clay
2000	Jhumpa Lahiri	Interpreter of Maladies
1999	Michael Cunningham	The Hours
1998	Philip Roth	American Pastoral
1997	Steven Millhauser	Martin Dressler: The Tale of an American Dreamer
1996	Richard Ford	Independence Day
1995	Carol Shields	The Stone Diaries
1994	E. Annie Proulx	The Shipping News
1993	Robert Olen Butler	A Good Scent from a Strange Mountain
1992	Jane Smiley	A Thousand Acres
1991	John Updike	Rabbit At Rest
1990	Oscar Hijuelos	The Mambo Kings Play Songs of Love
1989	Anne Tyler	Breathing Lessons
1988	Toni Morrison	Beloved
1987	Peter Taylor	A Summons to Memphis
1986	Larry McMurtry	Lonesome Dove
1985	Alison Lurie	Foreign Affairs
1984	William Kennedy	Ironweed
1983	Alice Walker	The Color Purple
1982	John Updike	Rabbit Is Rich
1981	John Kennedy Toole	A Confederacy of Dunces
1980	Norman Mailer	The Executioner&#039;s Song
1979	John Cheever	The Stories of John Cheever
1978	James Alan McPherson	Elbow Room
1976	Saul Bellow	Humboldt&#039;s Gift
1975	Michael Shaara	The Killer Angels
1973	Eudora Welty	The Optimist&#039;s Daughter
1972	Wallace Stegner	Angle of Repose
1970	Jean Stafford	Collected Stories
1969	N. Scott Momaday	House Made of Dawn
1968	William Styron	The Confessions of Nat Turner
1967	Bernard Malamud	The Fixer
1966	Katherine Anne Porter	Collected Stories
1965	Shirley Ann Grau	The Keepers Of The House
1964	No award given	
1963	William Faulkner	The Reivers
1962	Edwin O'Connor	The Edge of Sadness
1961	Harper Lee	To Kill A Mockingbird
1960	Allen Drury	Advise and Consent
1959	Robert Lewis Taylor	The Travels of Jaimie McPheeters
1958	James Agee	A Death In The Family
1956	MacKinlay Kantor	Andersonville
1955	William Faulkner	A Fable
1953	Ernest Hemingway	The Old Man and the Sea
1952	Herman Wouk	The Caine Mutiny
1951	Conrad Richter	The Town
1950	A. B. Guthrie	The Way West
1949	James Gould Cozzens	Guard of Honor
1948	James A. Michener	Tales of the South Pacific
