year	author	title
2024	Nathan Thrall	A Day in the Life of Abed Salama: Anatomy of a Jerusalem Tragedy
2023	Robert Samuels and Toluse Olorunnipa	His Name Is George Floyd: One Man’s Life and the Struggle for Racial Justice
2022	Andrea Elliott	Invisible Child: Poverty, Survival &amp; Hope in an American City
2021	David Zucchino	Wilmington’s Lie: The Murderous Coup of 1898 and the Rise of White Supremacy
2020	Greg Grandin	The End of the Myth: From the Frontier to the Border Wall in the Mind of America
2020	Anne Boyer	The Undying: Pain, Vulnerability, Mortality, Medicine, Art, Time, Dreams, Data, Exhaustion, Cancer, and Care
2019	Eliza Griswold	Amity and Prosperity: One Family and the Fracturing of America
2018	James Forman Jr.	Locking Up Our Own: Crime and Punishment in Black America
2017	Matthew Desmond	Evicted: Poverty and Profit in the American City
2016	Joby Warrick	Black Flags: The Rise of ISIS
2015	Elizabeth Kolbert	The Sixth Extinction: An Unnatural History 
2014	Dan Fagin	Toms River: A Story of Science and Salvation
2013	Gilbert King	Devil in the Grove: Thurgood Marshall, the Groveland Boys, and the Dawn of a New America
2012	Stephen Greenblatt	The Swerve: How the World Became Modern
2011	Siddhartha Mukherjee	The Emperor of All Maladies: A Biography of Cancer
2010	David E. Hoffman	The Dead Hand: The Untold Story of the Cold War Arms Race and Its Dangerous Legacy
2009	Douglas A. Blackmon	Slavery by Another Name: The Re-Enslavement of Black Americans from the Civil War to World War II
2008	Saul Friedländer	The Years of Extermination: Nazi Germany and the Jews, 1939-1945
2007	Lawrence Wright	The Looming Tower: Al-Qaeda and the Road to 9/11
2006	Caroline Elkins	Imperial Reckoning: The Untold Story of Britain&#039;s Gulag in Kenya
2005	Steve Coll	Ghost Wars
2004	Anne Applebaum	Gulag: A History
2003	Samantha Power	&quot;A Problem From Hell:&quot; America and the Age of Genocide
2002	Diane McWhorter	Carry Me Home: Birmingham, Alabama, the Climactic Battle of the Civil Rights Revolution
2001	Herbert P. Bix	Hirohito and the Making of Modern Japan
2000	John W. Dower	Embracing Defeat: Japan in the Wake of World War II
1999	John McPhee	Annals of the Former World
1998	Jared Diamond	Guns, Germs and Steel: The Fates of Human Societies
1997	Richard Kluger	Ashes To Ashes: America&#039;s Hundred-Year Cigarette War, The Public Health, And The Unabashed Triumph Of Philip Morris
1996	Tina Rosenberg	The Haunted Land: Facing Europe&#039;s Ghosts After Communism
1995	Jonathan Weiner	The Beak Of The Finch: A Story Of Evolution In Our Time
1994	David Remnick	Lenin&#039;s Tomb: The Last Days Of The Soviet Empire
1993	Garry Wills	Lincoln at Gettysburg: The Words That Remade America
1992	Daniel Yergin	The Prize: The Epic Quest For Oil, Money &amp; Power
1991	Bert Holldobler and Edward O. Wilson	The Ants
1990	Dale Maharidge and Michael Williamson	And Their Children After Them
1989	Neil Sheehan	A Bright Shining Lie: John Paul Vann and America in Vietnam
1988	Richard Rhodes	The Making of the Atomic Bomb
1987	David K. Shipler	Arab and Jew: Wounded Spirits in a Promised Land
1986	J. Anthony Lukas	Common Ground: A Turbulent Decade in the Lives of Three American Families
1986	Joseph Lelyveld	Move Your Shadow: South Africa, Black and White
1985	Studs Terkel	The Good War: An Oral History of World War Two
1984	Paul Starr	The Social Transformation Of American Medicine
1983	Susan Sheehan	Is There No Place on Earth for Me?
1982	Tracy Kidder	The Soul of a New Machine
1981	Carl E. Schorske	Fin-De Siecle Vienna: Politics And Culture
1980	Douglas R. Hofstadter	Godel, Escher, Bach: an Eternal Golden Braid
1979	Edward O. Wilson	On Human Nature
1978	Carl Sagan	The Dragons of Eden
1977	William W. Warner	Beautiful Swimmers
1976	Robert N. Butler	Why Survive? Being Old In America
1975	Annie Dillard	Pilgrim at Tinker Creek
1974	Ernest Becker	The Denial of Death
1973	Frances FitzGerald	Fire in the Lake: The Vietnamese and the Americans in Vietnam
1973	Robert Coles	Children of Crisis, Vols. II and III
1972	Barbara W. Tuchman	Stilwell and the American Experience in China, 1911-1945
1971	John Toland	The Rising Sun
1970	Erik H. Erikson	Gandhi&#039;s Truth
1969	Norman Mailer	The Armies Of The Night
1969	Rene Jules Dubos	So Human An Animal
1968	Will and Ariel Durant	The Story of Civilization: Rousseau and Revolution
1967	David Brion Davis	The Problem of Slavery in Western Culture
1966	Edwin Way Teale	Wandering Through Winter
1965	Howard Mumford Jones	O Strange New World
1964	Richard Hofstadter	Anti-Intellectualism in American Life
1963	Barbara W. Tuchman	The Guns of August
1962	Theodore H. White	The Making of the President 1960
