year	author	title
2024	Jacqueline Jones	No Right to an Honest Living: The Struggles of Boston’s Black Workers in the Civil War Era 
2023	Jefferson Cowie	Freedom’s Dominion: A Saga of White Resistance to Federal Power
2022	Ada Ferrer	Cuba: An American History
2022	Nicole Eustace	Covered with Night
2021	Marcia Chatelain	Franchise: The Golden Arches in Black America
2020	W. Caleb McDaniel	Sweet Taste of Liberty: A True Story of Slavery and Restitution in America
2019	David W. Blight	Frederick Douglass: Prophet of Freedom
2018	Jack E. Davis	The Gulf: The Making of an American Sea
2017	Heather Ann Thompson	Blood in the Water: The Attica Prison Uprising of 1971 and Its Legacy
2016	T.J. Stiles	Custer&#039;s Trials: A Life on the Frontier of a New America
2015	Elizabeth A. Fenn	Encounters at the Heart of the World: A History of the Mandan People
2014	Alan Taylor	The Internal Enemy: Slavery and War in Virginia, 1772-1832
2013	Fredrik Logevall	Embers of War: The Fall of an Empire and the Making of America&#039;s Vietnam
2012	Manning Marable	Malcolm X: A Life of Reinvention
2011	Eric Foner	The Fiery Trial: Abraham Lincoln and American Slavery
2010	Liaquat Ahamed	Lords of Finance: The Bankers Who Broke the World
2009	Annette Gordon-Reed	The Hemingses of Monticello: An American Family
2008	Daniel Walker Howe	What Hath God Wrought: The Transformation of America, 1815-1848
2007	Gene Roberts and Hank Klibanoff	The Race Beat: The Press, the Civil Rights Struggle, and the Awakening of a Nation
2006	David M. Oshinsky	Polio: An American Story
2005	David Hackett Fischer	Washington&#039;s Crossing
2004	Steven Hahn	A Nation Under Our Feet: Black Political Struggles in the Rural South from Slavery to the Great Migration
2003	Rick Atkinson	An Army at Dawn: The War in North Africa, 1942-1943
2002	Louis Menand	The Metaphysical Club: A Story of Ideas in America
2001	Joseph J. Ellis	Founding Brothers: The Revolutionary Generation
2000	David M. Kennedy	Freedom From Fear: The American People in Depression and War, 1929-1945
1999	Edwin G. Burrows and Mike Wallace	Gotham: A History of New York City to 1898
1998	Edward J. Larson	Summer for the Gods: The Scopes Trial and America&#039;s Continuing Debate Over Science and Religion
1997	Jack N. Rakove	Original Meanings: Politics and Ideas in the Making of the Constitution
1996	Alan Taylor	William Cooper&#039;s Town: Power and Persuasion on the Frontier of the Early American Republic
1995	Doris Kearns Goodwin	No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II
1993	Gordon S. Wood	The Radicalism of the American Revolution
1992	Mark E. Neely	The Fate of Liberty: Abraham Lincoln and Civil Liberties
1991	Laurel Thatcher Ulrich	A Midwife&#039;s Tale
1990	Stanley Karnow	In Our Image: America&#039;s Empire in the Philippines
1989	James M. McPherson	Battle Cry of Freedom: The Civil War Era
1989	Taylor Branch	Parting the Waters: America in the King Years 1954-1963
1988	Robert V. Bruce	The Launching of Modern American Science 1846-1876
1987	Bernard Bailyn	Voyagers to the West: A Passage in the Peopling of America on the Eve of the Revolution
1986	Walter A. McDougall	...the Heavens and the Earth: A Political History of the Space Age
1985	Thomas K. McCraw	Prophets of Regulation
1983	Rhys L. Isaac	The Transformation of Virginia, 1740-1790
1982	C. Vann Woodward	Mary Chesnut&#039;s Civil War
1981	Lawrence A. Cremin	American Education: The National Experience, 1783-1876
1980	Leon F. Litwack	Been in the Storm So Long
1979	Don E. Fehrenbacher	The Dred Scott Case
1978	Alfred D. Chandler	The Visible Hand: The Managerial Revolution in American Business
1977	David M. Potter	The Impending Crisis, 1848-1861
1976	Paul Horgan	Lamy of Santa Fe
1975	Dumas Malone	Jefferson and His Time, Vols. I-V
1974	Daniel J. Boorstin	The Americans: The Democratic Experience
1973	Michael Kammen	People of Paradox: An Inquiry Concerning the Origins of American Civilization
1972	Carl N. Degler	Neither Black Nor White
1971	James MacGregor Burns	Roosevelt: The Soldier Of Freedom
1970	Dean Acheson	Present At The Creation: My Years In The State Department
1969	Leonard W. Levy	Origins of the Fifth Amendment
1968	Bernard Bailyn	The Ideological Origins of the American Revolution
1967	William H. Goetzmann	Exploration and Empire: The Explorer and the Scientist in the Winning of the American West
1966	Perry Miller	The Life of the Mind in America: From the Revolution to the Civil War
1965	Irwin Unger	The Greenback Era: A Social and Political History of American Finance, 1865-1879
1964	Sumner Chilton Powell	Puritan Village: The Formation of a New England Town
1963	Constance McLaughlin Green	Washington, Village and Capital, 1800-1878
1962	Lawrence H. Gipson	The Triumphant Empire: Thunder-Clouds Gather in the West 1763-1766
1961	Herbert Feis	Between War and Peace: The Potsdam Conference
1960	Margaret Leech	In the Days of McKinley
1959	Leonard D. White	The Republican Era: 1869-1901
1958	Bray Hammond	Banks and Politics in America
1957	George F. Kennan	Russia Leaves the War: Soviet-American Relations, 1917-192O
1956	Richard Hofstadter	The Age of Reform
1955	Paul Horgan	Great River: The Rio Grande in North American History
1954	Bruce Catton	A Stillness at Appomattox
1953	George Dangerfield	The Era of Good Feelings
1952	Oscar Handlin	The Uprooted
1951	R. Carlyle Buley	The Old Northwest, Pioneer Period 1815-1840
1950	Oliver W. Larkin	Art and Life in America
1949	Roy Franklin Nichols	The Disruption of American Democracy
1948	Bernard Devoto	Across the Wide Missouri
1947	James Phinney Baxter 3rd	Scientists Against Time
1946	Arthur Meier Schlesinger	The Age of Jackson
1945	Stephen Bonsal	Unfinished Business
1944	Merle Curti	The Growth of American Thought
1943	Esther Forbes	Paul Revere and the World He Lived In
1942	Margaret Leech	Reveille in Washington, 1860-1865
1941	Marcus Lee Hansen	The Atlantic Migration, 1607-1860
1940	Carl Sandburg	Abraham Lincoln: The War Years
1939	Frank Luther Mott	A History of American Magazines
1938	Paul Herman Buck	The Road to Reunion, 1865-1900
1937	Van Wyck Brooks	The Flowering of New England 1815-1865
1936	Andrew C. McLaughlin	A Constitutional History of the United States
1935	Charles McLean Andrews	The Colonial Period of American History
1934	Herbert Agar	The People&#039;s Choice
1933	Frederick J. Turner	The Significance of Sections in American History
1932	John J. Pershing	My Experiences in the World War
1931	Bernadotte E. Schmitt	The Coming of the War 1914
1930	Claude H. Van Tyne	The Founding of the American Republic, Volume II: The War of Independence: American Phase
1929	Fred Albert Shannon	The Organization and Administration of the Union Army, 1861-1865
1928	Vernon Louis Parrington	Main Currents in American Thought, 2 vols.
1927	Samuel Flagg Bemis	Pinckney&#039;s Treaty
1926	Edward Channing	A History of the United States, Vol. VI: The War for Southern Independence, 1849-1865
1925	Frederic L. Paxson	History of the American Frontier
1924	Charles Howard McIlwain	The American Revolution -- A Constitutional Interpretation
1923	Charles Warren	The Supreme Court in United States History
1922	James Truslow Adams	The Founding of New England
1921	William Sowden Sims in collaboration with Burton J. Hendrick	The Victory at Sea
1920	Justin H. Smith	The War with Mexico
1918	James Ford Rhodes	History of the Civil War, 1861-1865
1917	His Excellency J.J. Jusserand	With Americans of Past and Present Days
