year	author	title
1947	Robert Penn Warren	All the King&#039;s Men
1945	John Hersey	A Bell for Adano
1944	Martin Flavin	Journey in the Dark
1943	Upton Sinclair	Dragon&#039;s Teeth
1942	Ellen Glasgow	In This Our Life
1940	John Steinbeck	The Grapes of Wrath
1939	Marjorie Kinnan Rawlings	The Yearling
1938	John Phillips Marquand	The Late George Apley
1937	Margaret Mitchell	Gone With the Wind
1936	Harold L. Davis	Honey in the Horn
1935	Josephine Winslow Johnson	Now in November
1934	Caroline Miller	Lamb in His Bosom
1933	T. S. Stribling	The Store
1932	Pearl S. Buck	The Good Earth
1931	Margaret Ayer Barnes	Years of Grace
1930	Oliver La Farge	Laughing Boy
1929	Julia Peterkin	Scarlet Sister Mary
1928	Thornton Wilder	The Bridge of San Luis Rey
1927	Louis Bromfield	Early Autumn
1926	Sinclair Lewis	Arrowsmith
1925	Edna Ferber	So Big
1924	Margaret Wilson	The Able McLaughlins
1923	Willa Cather	One of Ours
1922	Booth Tarkington	Alice Adams
1921	Edith Wharton	The Age of Innocence
1919	Booth Tarkington	The Magnificent Ambersons
1918	Ernest Poole	His Family
