year	author	title
2024	Brandon Som	Tripas: Poems
2023	Carl Phillips	Then the War: And Selected Poems, 2007-2020
2022	Diane Seuss	frank: sonnets
2021	Natalie Diaz	Postcolonial Love Poem
2020	Jericho Brown	The Tradition
2019	Forrest Gander	Be With
2018	Frank Bidart	Half-light: Collected Poems 1965-2016
2017	Tyehimba Jess	Olio
2016	Peter Balakian	Ozone Journal
2015	Gregory Pardlo	Digest
2014	Vijay Seshadri	3 Sections
2013	Sharon Olds	Stag&#039;s Leap
2012	Tracy K. Smith	Life on Mars
2011	Kay Ryan	The Best of It: New and Selected Poems
2010	Rae Armantrout	Versed
2009	W.S. Merwin	The Shadow of Sirius
2008	Robert Hass	Time and Materials
2008	Philip Schultz	Failure
2007	Natasha Trethewey	Native Guard
2006	Claudia Emerson	Late Wife
2005	Ted Kooser	Delights &amp; Shadows
2004	Franz Wright	Walking to Martha&#039;s Vineyard
2003	Paul Muldoon	Moy Sand and Gravel
2002	Carl Dennis	Practical Gods
2001	Stephen Dunn	Different Hours
2000	C.K. Williams	Repair
1999	Mark Strand	Blizzard of One
1998	Charles Wright	Black Zodiac
1997	Lisel Mueller	Alive Together: New and Selected Poems
1996	Jorie Graham	The Dream of the Unified Field
1995	Philip Levine	The Simple Truth
1994	Yusef Komunyakaa	Neon Vernacular: New and Selected Poems
1993	Louise Glück	The Wild Iris
1992	James Tate	Selected Poems
1991	Mona Van Duyn	Near Changes
1990	Charles Simic	The World Doesn&#039;t End
1989	Richard Wilbur	New and Collected Poems
1988	William Meredith	Partial Accounts: New and Selected Poems
1987	Rita Dove	Thomas and Beulah
1986	Henry Taylor	The Flying Change
1985	Carolyn Kizer	Yin
1984	Mary Oliver	American Primitive
1983	Galway Kinnell	Selected Poems
1982	Sylvia Plath	The Collected Poems
1981	James Schuyler	The Morning of the Poem
1980	Donald Justice	Selected Poems
1979	Robert Penn Warren	Now and Then
1978	Howard Nemerov	Collected Poems
1977	James Merrill	Divine Comedies
1976	John Ashbery	Self-Portrait in a Convex Mirror
1975	Gary Snyder	Turtle Island
1974	Robert Lowell	The Dolphin
1973	Maxine Kumin	Up Country
1972	James Wright	Collected Poems
1971	William S. Merwin	The Carrier of Ladders
1970	Richard Howard	Untitled Subjects
1969	George Oppen	Of Being Numerous
1968	Anthony Hecht	The Hard Hours
1967	Anne Sexton	Live or Die
1966	Richard Eberhart	Selected Poems
1965	John Berryman	77 Dream Songs
1964	Louis Simpson	At The End Of The Open Road
1963	William Carlos Williams	Pictures from Brueghel
1962	Alan Dugan	Poems
1961	Phyllis McGinley	Times Three: Selected Verse From Three Decades
1960	W. D. Snodgrass	Heart&#039;s Needle
1959	Stanley Kunitz	Selected Poems 1928-1958
1958	Robert Penn Warren	Promises: Poems 1954-1956
1957	Richard Wilbur	Things of This World
1956	Elizabeth Bishop	Poems: North &amp; South - A Cold Spring
1955	Wallace Stevens	Collected Poems
1954	Theodore Roethke	The Waking
1953	Archibald MacLeish	Collected Poems 1917-1952
1952	Marianne Moore	Collected Poems
1951	Carl Sandburg	Complete Poems
1950	Gwendolyn Brooks	Annie Allen
1949	Peter Viereck	Terror and Decorum
1948	W. H. Auden	The Age of Anxiety
1947	Robert Lowell	Lord Weary&#039;s Castle
1945	Karl Shapiro	V-Letter and Other Poems
1944	Stephen Vincent Benét	Western Star
1943	Robert Frost	A Witness Tree
1942	William Rose Benet	The Dust Which Is God
1941	Leonard Bacon	Sunderland Capture
1940	Mark Van Doren	Collected Poems
1939	John Gould Fletcher	Selected Poems
1938	Marya Zaturenska	Cold Morning Sky
1937	Robert Frost	A Further Range
1936	Robert P. Tristram Coffin	Strange Holiness
1935	Audrey Wurdemann	Bright Ambush
1934	Robert Hillyer	Collected Verse
1933	Archibald Macleish	Conquistador
1932	George Dillon	The Flowering Stone
1931	Robert Frost	Collected Poems
1930	Conrad Aiken	Selected Poems
1929	Stephen Vincent Benét	John Browns Body
1928	Edwin Arlington Robinson	Tristram
1927	Leonora Speyer	Fiddler&#039;s Farewell
1926	Amy Lowell	What&#039;s O&#039;Clock
1925	Edwin Arlington Robinson	The Man Who Died Twice
1924	Robert Frost	New Hampshire: A Poem with Notes and Grace Notes
1923	Edna St. Vincent Millay	The Ballad of the Harp-Weaver: A Few Figs from Thistles: Eight Sonnets in American Poetry, 1922. A Miscellany
1922	Edwin Arlington Robinson	Collected Poems
1919	Carl Sandburg	Corn Huskers
1919	Margaret Widdemer	Old Road to Paradise
1918	Sara Teasdale	Love Songs
